id,xcoord,ycoord
"1",237262.537115982,9058214.1328151
"1",237261.624865244,9058227.45167588
"1",237263.723041941,9058232.56028001
"1",237264.863355364,9058237.30398385
"1",237266.140506397,9058242.36697545
"1",237271.294723068,9058251.30703268
"1",237282.424182074,9058267.2714206
"1",237290.634438717,9058291.53729023
"1",237300.121846394,9058288.80053802
"1",237307.146177078,9058285.79011058
"1",237315.265208647,9058282.77968315
"1",237297.749994475,9058308.77882918
"1",237304.591875011,9058304.85615101
"1",237312.072331064,9058302.02817372
"1",237318.458086231,9058297.46692003
"1",237314.352957909,9058328.20976991
"1",237320.82993815,9058326.93261887
"1",237327.945493908,9058323.28361592
"1",237334.513699222,9058336.14635133
"1",237321.377288593,9058344.17415782
"1",237313.440707171,9058349.73888733
"1",237326.942018096,9058355.7597422
"1",237344.913357637,9058378.47478558
"1",237349.88512416,9058386.32014193
"1",237355.632303811,9058392.75150963
"1",237361.242645852,9058396.9706693
"1",237365.165324026,9058403.03713671
"1",237366.077574765,9058407.37032771
"1",237367.856463704,9058413.61924527
"1",237368.586264295,9058420.18745059
"1",237369.680965181,9058417.49631091
"1",237371.551079194,9058423.12945922
"1",237377.936834362,9058430.65552781
"1",237379.533273154,9058434.66943106
"1",237404.71139353,9058488.85712492
"1",237439.103246363,9058549.61302409
"1",237456.43601039,9058562.74943472
"1",237459.172762605,9058567.6755887
"1",237466.835668807,9058572.96664299
"1",238212.509422271,9060191.29945268
"1",238276.731874246,9060252.96760259
"1",238299.811817924,9060271.85119287
"1",238300.541618515,9060279.60532415
"1",238301.180194032,9060284.89637843
"1",238314.407829737,9060295.47848699
"1",238314.772730032,9060290.82600823
"1",238313.76925422,9060286.44720468
"1",238340.863101147,9060317.37250471
"1",238339.312274892,9060308.06754718
"1",238330.554667804,9060301.59056694
"1",238337.487773415,9060293.92766074
"1",238335.115921496,9060286.08230439
"1",238354.090736852,9060292.83295985
"1",238352.083785227,9060283.07187695
"1",238369.142874033,9060312.81125102
"1",238354.615281026,9060317.82863008
"1",238359.746691429,9060316.34622263
"1",238359.404597402,9060328.43354491
"1",238368.162204489,9060334.50001232
"1",238376.919811577,9060333.67898666
"1",238385.58619359,9060338.01217766
"1",238385.723031201,9060330.12120878
"1",238390.375509966,9060328.38793237
"1",238396.077077081,9060329.11773296
"1",238402.599669859,9060327.47568163
"1",238283.32288583,9060358.17291898
"1",238593.032011474,9060502.21731055
"1",238603.659732575,9060528.12523152
"1",238790.853584069,9061336.26535428
"1",238790.306233626,9061331.15675015
"1",238796.783213867,9061445.09686736
"1",238800.158541599,9061452.02997297
"1",238800.067316525,9061466.16985941
"1",238804.263669921,9061479.30627005
"1",238806.544296767,9061488.70245265
"1",238807.456547505,9061495.45310811
"1",238785.197629491,9061471.91703906
"1",238788.299282001,9061479.21504497
"1",238789.21153274,9061487.24285147
"1",238793.590336283,9061492.16900545
"1",238795.41483776,9061497.55128481
"1",238796.783213867,9061506.85624234
"1",238796.60076372,9061513.65251034
"1",238797.649852069,9061519.12601477
"1",238798.972615639,9061524.5995192
"1",238799.70241623,9061530.71159915
"1",238799.155065787,9061536.91490416
"1",238798.972615639,9061544.57781037
"1",238813.659852525,9061564.55610153
"1",238793.955236579,9061578.33108768
"1",238793.407886136,9061571.67165729
"1",238795.779738055,9061566.01570272
"1",238870.036948151,9061476.34145514
"1",238877.243728983,9061476.15900499
"1",238882.89968356,9061475.97655485
"1",238884.632959963,9061525.19248218
"1",238883.652290419,9061529.59409199
"1",238884.541734889,9061535.06759642
"1",238885.362760554,9061539.44639996
"1",238885.294341748,9061543.91642858
"1",238884.815410111,9061548.36365093
"1",238885.704854581,9061553.47225506
"1",238885.796079654,9061558.03350875
"1",238886.252205024,9061562.86843767
"1",238886.708330393,9061566.88234092
"1",238885.796079654,9061571.35236953
"1",238806.79516572,9061614.77550467
"1",238800.865535921,9061625.99618876
"1",238780.704794605,9061615.77898049
"1",238779.15396835,9061622.25596073
"1",238797.946333559,9061644.42365367
"1",238790.648327653,9061661.84764277
