"","E","N","agua_10","esg_10","lixo_10","palfac_10","rnmpr_10","v7_10,v21_10","v22_10","v3_10","v4_10","v5_10","v1_10","v8_10","uso_10","NA"
"143",215628.526064568,9038961.7803782,1,1,1,1,1,1,1,1,1,1,1,1,1,24
"144",215685.815410935,9039006.23739752,1,1,1,1,1,1,1,1,1,1,1,1,1,24
"145",215688.612979866,9038907.34941748,1,1,1,1,1,1,1,1,1,1,1,1,1,24
"146",215724.312392093,9038921.76297915,1,1,1,1,1,1,1,1,1,1,1,1,1,24
"147",215862.974504319,9038983.79602935,1,1,1,1,1,1,1,1,1,1,1,1,1,24
"148",215878.057049859,9038991.09403526,1,1,1,1,1,1,1,1,1,1,1,1,1,24
"149",215906.458456179,9038996.38508954,1,1,1,1,1,1,1,1,1,1,1,1,1,21
"150",215961.801667638,9039035.24697099,1,1,1,1,1,1,1,1,1,1,1,1,1,21
"151",215969.829474135,9039052.27565144,1,1,1,1,1,1,1,1,1,1,1,1,1,21
"152",216054.607976084,9039244.57810708,1,1,1,1,1,1,1,1,1,1,1,1,1,21
"153",216145.468149622,9039315.73366467,1,1,1,1,1,1,1,1,1,1,1,1,1,24
"154",216343.487376556,9039446.85450413,1,1,1,1,1,1,1,1,1,1,1,1,1,21
"155",216309.55164909,9039719.79992503,1,1,1,1,1,1,1,1,1,1,1,1,1,24
"156",216322.809693153,9039744.36987825,1,1,1,1,1,1,1,1,1,1,1,1,1,24
"157",216414.399667282,9039718.46195729,1,1,1,1,1,1,1,1,1,1,1,1,1,24
"158",216427.779344777,9039768.39248103,1,1,1,1,1,1,1,1,1,1,1,1,1,24
"159",216333.026901423,9039765.38205359,1,1,1,1,1,1,1,1,1,1,1,1,1,24
"160",216337.101621387,9039770.30820758,1,1,1,1,1,1,1,1,1,1,1,1,1,24
"161",216343.183292976,9039795.97286168,1,1,1,1,1,1,1,1,1,1,1,1,1,24
"162",216345.615961612,9039806.43333682,1,1,1,1,1,1,1,1,1,1,1,1,1,24
"163",216353.704584825,9039826.19876948,1,1,1,1,1,1,1,1,1,1,1,1,1,24
"164",216344.582077441,9039869.01373747,1,1,1,1,1,1,1,1,1,1,1,1,1,24
"165",216359.907889845,9039882.02851467,1,1,1,1,1,1,1,1,1,1,1,1,1,24
"166",216363.191992503,9039894.07022441,1,1,1,1,1,1,1,1,1,1,1,1,1,24
"167",216366.840995457,9039910.73400456,1,1,1,1,1,1,1,1,1,1,1,1,1,24
"168",216374.139001363,9039912.55850604,1,1,1,1,1,1,1,1,1,1,1,1,1,24
"169",216370.48999841,9039936.76355896,1,1,1,1,1,1,1,1,1,1,1,1,1,24
"170",216379.125972066,9039968.87478495,1,1,1,1,1,1,1,1,1,1,1,1,1,24
"171",216380.950473543,9039977.87565891,1,1,1,1,1,1,1,1,1,1,1,1,1,24
"172",216440.185954819,9039826.19876948,1,1,1,1,1,1,1,1,1,1,1,1,1,24
"173",216436.780218729,9039832.52370793,1,1,1,1,1,1,1,1,1,1,1,1,1,24
"174",216444.443124931,9039830.57757302,1,1,1,1,1,1,1,1,1,1,1,1,1,24
"175",216449.916629361,9039828.38817125,1,1,1,1,1,1,1,1,1,1,1,1,1,24
"176",216451.984397701,9039822.42813309,1,1,1,1,1,1,1,1,1,1,1,1,1,24
"177",216446.510893271,9039848.82258779,1,1,1,1,1,1,1,1,1,1,1,1,1,24
"178",216443.591690908,9039856.12059369,1,1,1,1,1,1,1,1,1,1,1,1,1,24
"179",216444.808025226,9039860.13449694,1,1,1,1,1,1,1,1,1,1,1,1,1,24
"180",216446.754160135,9039864.02676676,1,1,1,1,1,1,1,1,1,1,1,1,1,24
"181",216445.78109268,9039868.28393687,1,1,1,1,1,1,1,1,1,1,1,1,1,24
"182",216459.282403608,9039910.12583741,1,1,1,1,1,1,1,1,1,1,1,1,1,24
"183",216462.079972538,9039924.35694892,1,1,1,1,1,1,1,1,1,1,1,1,1,24
"184",216469.499611877,9039945.88606635,1,1,1,1,1,1,1,1,1,1,1,1,1,24
"185",216467.6751104,9039976.78095802,1,1,1,1,1,1,1,1,1,1,1,1,1,24
"186",216378.03127118,9040017.52815766,1,1,1,1,1,1,1,1,1,1,1,1,1,24
"187",216470.959213058,9040000.74274408,1,1,1,1,1,1,1,1,1,1,1,1,1,24
"188",216471.932280512,9040019.47429257,1,1,1,1,1,1,1,1,1,1,1,1,1,24
"189",216386.302344541,9040032.85397006,1,1,1,1,1,1,1,1,1,1,1,1,1,24
"190",216389.343180336,9040050.36918424,1,1,1,1,1,1,1,1,1,1,1,1,1,24
"191",216397.85752056,9040071.77666823,1,1,1,1,1,1,1,1,1,1,1,1,1,24
"192",216411.237198055,9040121.64637526,1,1,1,1,1,1,1,1,1,1,1,1,1,24
"193",216415.859268463,9040134.0529853,1,1,1,1,1,1,1,1,1,1,1,1,1,24
"194",216530.559594629,9040140.74282405,1,1,1,1,1,1,1,1,1,1,1,1,1,21
"195",216521.193820382,9040118.11900574,1,1,1,1,1,1,1,1,1,1,1,1,1,21
"196",216513.166013885,9040099.14419038,1,1,1,1,1,1,1,1,1,1,1,1,1,21
"197",216429.238945959,9040190.36926421,1,1,1,1,1,1,1,1,1,1,1,1,1,24
"198",216524.599556472,9040182.09819085,1,1,1,1,1,1,1,1,1,1,1,1,1,21
"199",216497.11040089,9040154.85230213,1,1,1,1,1,1,1,1,1,1,1,1,1,21
"200",216499.603886242,9040164.09644295,1,1,1,1,1,1,1,1,1,1,1,1,1,21
"201",216430.820180572,9040209.8306133,1,1,1,1,1,1,1,1,1,1,1,1,1,24
"202",216442.618623454,9040250.94271324,1,1,1,1,1,1,1,1,1,1,1,1,1,24
"203",216435.685517843,9040258.36235257,1,1,1,1,1,1,1,1,1,1,1,1,1,24
"204",216437.753286183,9040263.34932328,1,1,1,1,1,1,1,1,1,1,1,1,1,24
